City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Broken Hill,AU,-31.95,141.4333,48.15,56,49,3.11,scattered clouds
80,Guerrero Negro,MX,27.9769,-114.0611,67.12,88,56,6.51,broken clouds
81,Sinnamary,GF,5.3833,-52.95,76.8,89,99,5.26,overcast clouds
82,Ouargaye,BF,11.5033,0.0572,84.92,54,96,14.47,overcast clouds
83,Parabel,RU,58.6978,81.4825,77.56,72,67,3.09,light rain
84,Alamos,MX,27.0167,-108.9333,73.85,87,97,2.71,overcast clouds
85,Waingapu,ID,-9.6567,120.2641,75.67,78,0,13.6,clear sky
86,Kavieng,PG,-2.5744,150.7967,82.29,77,97,13.44,overcast clouds
87,Paamiut,GL,61.994,-49.6678,42.75,88,46,10.65,scattered clouds
88,Khatanga,RU,71.9667,102.5,71.22,54,63,0.98,broken clouds
89,Jaciara,BR,-15.9653,-54.9683,67.87,47,0,1.43,clear sky
90,Bilma,NE,18.6853,12.9164,104.29,8,6,8.3,clear sky
91,Rikitea,PF,-23.1203,-134.9692,73.99,71,100,11.21,overcast clouds
92,Cermik,TR,38.1361,39.4493,97.54,13,0,6.08,clear sky
93,Longyearbyen,SJ,78.2186,15.6401,48.04,76,75,5.75,broken clouds
94,Nalut,LY,30.3333,10.85,95.4,10,0,4.7,clear sky
95,Hasaki,JP,35.7333,140.8333,84.29,90,35,15.86,scattered clouds
96,Severo-Kurilsk,RU,50.6789,156.125,51.28,86,58,6.38,broken clouds
97,Lorengau,PG,-2.0226,147.2712,82.76,73,91,8.88,overcast clouds
98,Kapaa,US,22.0752,-159.319,79.12,82,40,14.97,scattered clouds
99,Okhotsk,RU,59.3833,143.3,57.47,91,61,6.06,broken clouds
100,Kodiak,US,57.79,-152.4072,44.11,81,0,6.91,clear sky
101,Podgorenskiy,RU,50.405,39.6429,84.0,44,9,4.63,clear sky
102,Ulladulla,AU,-35.35,150.4667,52.32,66,15,5.14,few clouds
103,Kefalos,GR,36.7453,26.9589,88.02,45,0,9.22,clear sky
104,Bredasdorp,ZA,-34.5322,20.0403,61.72,56,93,8.21,overcast clouds
105,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,94,0,4.61,clear sky
106,Yatou,CN,37.15,122.3833,75.6,92,57,13.35,broken clouds
107,Rayadrug,IN,14.7,76.8667,86.02,50,90,5.46,overcast clouds
108,Vaini,TO,-21.2,-175.2,75.24,65,44,13.2,scattered clouds
109,Nanning,CN,22.8167,108.3167,93.65,63,16,12.68,few clouds
110,Mlimba,TZ,-8.8,35.8167,85.14,35,70,2.28,broken clouds
111,Barrow,US,71.2906,-156.7887,35.62,93,100,13.8,overcast clouds
112,Ribeira Grande,PT,38.5167,-28.7,75.6,88,40,10.36,scattered clouds
113,Cherskiy,RU,68.75,161.3,42.58,68,11,9.69,few clouds
114,Saint-Joseph,RE,-21.3667,55.6167,75.58,73,29,9.04,scattered clouds
115,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,66.38,59,69,4.72,broken clouds
116,Brownfield,US,33.1812,-102.2744,76.95,46,7,13.18,clear sky
117,Tazovskiy,RU,67.4667,78.7,52.74,74,60,15.84,broken clouds
118,Necochea,AR,-38.5473,-58.7368,51.31,95,100,5.97,light rain
119,Kastamonu,TR,41.5,33.6667,78.82,26,0,3.42,clear sky
120,Namibe,AO,-15.1961,12.1522,63.23,94,100,12.66,overcast clouds
121,Mbekenyera,TZ,-10.0,38.9833,87.67,27,18,8.55,few clouds
122,Klaksvik,FO,62.2266,-6.589,52.72,93,100,7.54,overcast clouds
123,Dingle,PH,10.9995,122.6711,79.39,85,100,4.12,overcast clouds
124,Marion,US,39.7684,-86.1555,72.28,93,100,12.66,thunderstorm
125,Pacifica,US,37.6138,-122.4869,62.24,94,20,4.61,mist
126,Druzhnaya Gorka,RU,59.2761,30.1425,68.09,68,100,6.69,overcast clouds
127,Sakakah,SA,29.9697,40.2064,107.17,8,2,3.44,clear sky
128,Mumford,GH,5.2618,-0.759,77.36,81,100,14.2,light rain
129,Makat,KZ,47.6469,53.3463,94.21,21,27,7.94,scattered clouds
130,Sitka,US,57.0531,-135.33,55.29,82,100,12.66,overcast clouds
131,Half Moon Bay,US,37.4636,-122.4286,62.8,88,100,4.61,mist
132,Carnarvon,AU,-24.8667,113.6333,70.56,50,100,6.96,overcast clouds
133,Sioux Lookout,CA,50.1001,-91.917,57.27,88,20,3.44,few clouds
134,Dipalpur,PK,30.6709,73.6529,96.22,45,94,10.0,overcast clouds
135,Upernavik,GL,72.7868,-56.1549,37.72,84,100,1.32,overcast clouds
136,Sergeyevka,KZ,53.88,67.4158,76.3,62,96,14.5,overcast clouds
137,Den Helder,NL,52.9599,4.7593,67.96,52,75,9.22,broken clouds
138,Allende,MX,25.2833,-100.0167,72.82,76,81,2.48,broken clouds
139,Poole,GB,50.7167,-2.0,70.0,77,40,9.22,scattered clouds
140,Esperance,AU,-33.8667,121.9,58.55,76,98,9.24,overcast clouds
141,Kloulklubed,PW,7.0419,134.2556,79.3,69,99,5.79,overcast clouds
142,Ponta Do Sol,PT,32.6667,-17.1,78.71,72,0,5.88,clear sky
143,Tevriz,RU,57.509,72.4042,78.35,57,100,8.19,light rain
144,Waipawa,NZ,-41.4122,175.5153,49.78,78,33,17.45,scattered clouds
145,Hilo,US,19.7297,-155.09,80.28,93,100,0.0,overcast clouds
146,Santa Cruz,BO,-17.8,-63.1667,71.65,94,20,11.5,few clouds
147,Bud,US,39.447,-86.1758,71.91,95,85,6.17,very heavy rain
148,Diffa,NE,13.3154,12.6113,89.44,51,98,16.69,overcast clouds
149,Pisco,PE,-13.7,-76.2167,60.85,88,100,9.22,mist
150,Alofi,NU,-19.0595,-169.9187,67.89,88,9,3.44,clear sky
151,Havelock,US,34.8791,-76.9013,80.94,92,0,6.91,clear sky
152,Geraldton,AU,-28.7667,114.6,57.61,82,0,10.36,clear sky
153,Noyabrsk,RU,63.1994,75.4507,63.9,55,19,16.84,few clouds
154,Alice Springs,AU,-23.7,133.8833,47.75,31,0,8.05,clear sky
155,Okato,NZ,-39.2,173.8833,53.19,82,84,10.13,broken clouds
156,Altay,CN,47.8667,88.1167,82.62,24,100,10.98,overcast clouds
157,Ponta Delgada,PT,37.7333,-25.6667,78.49,88,20,12.66,few clouds
158,Sao Filipe,CV,14.8961,-24.4956,78.57,81,99,1.9,overcast clouds
159,Hoshangabad,IN,22.75,77.7167,85.23,73,100,7.99,overcast clouds
160,Mount Isa,AU,-20.7333,139.5,65.97,32,0,10.36,clear sky
161,Balangiga,PH,11.1097,125.3875,82.08,82,100,3.18,overcast clouds
162,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,20,14.97,few clouds
163,Pevek,RU,69.7008,170.3133,33.89,89,100,3.31,overcast clouds
164,Araouane,ML,18.9048,-3.5265,102.52,6,42,6.35,scattered clouds
165,Portland,US,45.5234,-122.6762,73.47,75,0,4.61,clear sky
166,Sokoni,TZ,-6.4333,39.55,82.26,74,63,16.51,light rain
167,Poum,NC,-20.2333,164.0167,73.71,77,28,10.45,scattered clouds
168,San Cristobal,VE,7.7669,-72.225,68.18,92,96,1.5,overcast clouds
169,Sur,OM,22.5667,59.5289,90.34,58,58,19.01,broken clouds
170,Lata,PT,40.1629,-8.3327,82.49,46,25,7.65,scattered clouds
171,Port Elizabeth,ZA,-33.918,25.5701,66.09,72,20,19.57,few clouds
172,Gelibolu,TR,40.4103,26.6708,89.46,38,0,17.56,clear sky
173,Prince Rupert,CA,54.3161,-130.3201,60.49,94,75,11.5,mist
174,Urumqi,CN,43.801,87.6005,90.55,20,0,11.18,clear sky
175,Divnogorsk,RU,55.9594,92.3619,68.74,62,66,2.44,broken clouds
176,Kudahuvadhoo,MV,2.6708,72.8944,81.91,77,100,15.03,overcast clouds
177,San Antero,CO,9.3741,-75.7589,74.35,92,64,5.66,broken clouds
178,Ixtapa,MX,20.7,-105.2,75.22,94,100,5.75,overcast clouds
179,Dicabisagan,PH,17.0818,122.4157,80.85,87,99,5.86,overcast clouds
180,Isla Mujeres,MX,21.2311,-86.731,80.65,80,6,12.39,clear sky
181,Oranjestad,AW,12.524,-70.027,78.75,89,75,13.8,broken clouds
182,Ananas,HT,19.2466,-71.9557,68.68,93,4,2.59,clear sky
183,Lavrentiya,RU,65.5833,-171.0,39.83,84,19,4.76,few clouds
184,Clearwater,US,27.9659,-82.8001,77.94,88,0,4.61,clear sky
185,Zhezkazgan,KZ,47.8043,67.7144,89.58,20,75,17.9,broken clouds
186,Najran,SA,17.4924,44.1277,99.25,19,74,13.18,broken clouds
187,Salmas,IR,38.1973,44.7653,90.43,23,0,9.95,clear sky
188,Chancay,PE,-11.5714,-77.2672,59.76,88,91,5.46,overcast clouds
189,Neiafu,TO,-18.65,-173.9833,76.48,68,75,17.16,broken clouds
190,Nishihara,JP,26.1842,127.7558,85.68,74,75,9.22,broken clouds
191,Rio Gallegos,AR,-51.6226,-69.2181,17.65,86,0,8.05,clear sky
192,Impfondo,CG,1.6381,18.0667,84.74,57,98,3.83,overcast clouds
193,Ugoofaaru,MV,5.6667,73.0,82.2,76,75,15.99,broken clouds
194,Fortuna,US,40.5982,-124.1573,55.35,90,17,1.59,few clouds
195,Spornoye,RU,50.8448,37.2913,81.34,46,0,4.05,clear sky
196,Yuanping,CN,38.7153,112.7575,62.53,89,100,5.23,overcast clouds
197,Mogadishu,SO,2.0371,45.3438,82.27,69,40,18.41,scattered clouds
198,Denpasar,ID,-8.65,115.2167,80.26,78,20,13.8,few clouds
199,Ayorou,NE,14.7308,0.9174,92.79,42,10,21.18,clear sky
200,Carauari,BR,-4.8828,-66.8958,71.83,97,54,1.81,broken clouds
201,Eyl,SO,7.9803,49.8164,90.3,45,70,25.57,broken clouds
202,Enid,US,36.3956,-97.8784,84.07,43,100,3.44,overcast clouds
203,Feni,BD,23.0186,91.41,88.59,67,65,7.63,broken clouds
204,Saint-Philippe,RE,-21.3585,55.7679,76.59,72,41,10.69,scattered clouds
205,Road Town,VG,18.4167,-64.6167,78.89,75,1,17.65,clear sky
206,Cravo Norte,CO,6.3017,-70.2041,72.97,95,25,2.26,scattered clouds
