City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Bubaque,GW,11.2833,-15.8333,80.51,84,89,11.54,light rain
81,Isangel,VU,-19.55,169.2667,80.71,78,75,5.75,broken clouds
82,San Quintin,MX,30.4833,-115.95,72.32,70,29,16.35,scattered clouds
83,Qaanaaq,GL,77.484,-69.3632,43.14,78,20,1.59,few clouds
84,Halifax,CA,44.6453,-63.5724,66.2,54,1,6.91,clear sky
85,Kodiak,US,57.79,-152.4072,56.71,82,100,10.36,overcast clouds
86,Torbay,CA,47.6666,-52.7314,57.27,88,75,10.36,broken clouds
87,Veseli Nad Luznici,CZ,49.1843,14.6973,56.34,94,96,4.5,overcast clouds
88,Barcelona,ES,41.3888,2.159,78.87,63,0,5.01,clear sky
89,Guarapari,BR,-20.6667,-40.4975,66.88,84,24,8.7,few clouds
90,Berlevag,NO,70.8578,29.0864,53.55,82,75,0.0,broken clouds
91,Shirokiy,RU,49.758,129.523,69.06,74,70,13.15,broken clouds
92,Dunedin,NZ,-45.8742,170.5036,43.79,66,20,4.27,few clouds
93,Shimoda,JP,34.6667,138.95,80.96,88,100,4.83,light rain
94,Tasiilaq,GL,65.6145,-37.6368,42.96,74,100,1.59,overcast clouds
95,Grodzisk Wielkopolski,PL,52.2276,16.3653,57.96,86,98,10.45,overcast clouds
96,Bredasdorp,ZA,-34.5322,20.0403,49.89,83,0,5.1,clear sky
97,Yuli,NG,9.6989,10.2744,73.69,91,100,6.17,light rain
98,Lake Havasu City,US,34.4839,-114.3224,112.23,7,0,10.36,clear sky
99,Sadu,RO,45.6667,24.1833,59.49,88,0,3.44,clear sky
100,Flin Flon,CA,54.7682,-101.865,72.25,65,2,7.38,clear sky
101,Morgan City,US,29.6994,-91.2068,81.99,85,93,6.24,overcast clouds
102,Sao Domingos,BR,-13.3983,-46.3183,67.84,52,0,11.9,clear sky
103,Novoilinsk,RU,51.6829,108.7143,68.13,44,12,10.18,few clouds
104,Vila Velha,BR,-20.3297,-40.2925,66.94,94,40,2.3,scattered clouds
105,Souillac,MU,-20.5167,57.5167,66.58,82,40,10.36,light rain
106,Nikolskoye,RU,59.7035,30.7861,59.81,97,80,2.86,broken clouds
107,Harrismith,ZA,-28.2728,29.1295,42.75,69,0,12.44,clear sky
108,Albany,US,42.6001,-73.9662,72.25,55,15,3.74,few clouds
109,Longyan,CN,25.1072,117.0225,86.27,67,48,2.93,scattered clouds
110,Thompson,CA,55.7435,-97.8558,71.76,83,75,3.44,broken clouds
111,Todos Santos,MX,23.45,-110.2167,95.05,71,83,4.14,broken clouds
112,Castro,BR,-24.7911,-50.0119,54.95,83,19,3.83,few clouds
113,Kaeo,NZ,-35.1,173.7833,65.32,91,100,4.68,overcast clouds
114,Tawau,MY,4.2498,117.8871,73.53,82,100,2.24,light rain
115,Nanortalik,GL,60.1432,-45.2371,41.54,94,54,8.48,broken clouds
116,Faanui,PF,-16.4833,-151.75,78.12,72,82,18.88,broken clouds
117,Fortuna,US,40.5982,-124.1573,70.93,71,20,5.99,few clouds
118,Bambous Virieux,MU,-20.3428,57.7575,66.45,82,40,10.36,light rain
119,Mossendjo,CG,-2.9506,12.7261,61.74,97,64,2.35,broken clouds
120,Aykhal,RU,66.0,111.5,64.63,47,37,11.12,scattered clouds
121,Hvolsvollur,IS,63.7533,-20.2243,51.08,91,100,13.04,overcast clouds
122,Atar,MR,20.5169,-13.0499,92.57,28,0,13.78,clear sky
123,Mayskiy,RU,47.6931,40.1025,76.41,37,97,10.63,overcast clouds
124,Eydhafushi,MV,5.1033,73.0708,81.63,79,76,15.57,broken clouds
125,Khandyga,RU,62.6667,135.6,80.13,38,74,5.97,broken clouds
126,Chokurdakh,RU,70.6333,147.9167,62.17,35,0,9.13,clear sky
127,Husavik,IS,66.0449,-17.3389,53.51,82,92,5.55,overcast clouds
128,Mahebourg,MU,-20.4081,57.7,66.49,82,40,10.36,scattered clouds
129,Saint-Philippe,RE,-21.3585,55.7679,65.79,74,64,14.14,broken clouds
130,Senanga,ZM,-16.1167,23.2667,52.83,63,0,5.1,clear sky
131,Kutum,SD,14.2,24.6667,79.39,41,91,4.14,overcast clouds
132,Ternate,ID,0.8,127.4,83.28,71,100,2.26,overcast clouds
133,Ajaccio,FR,42.0,8.9167,66.25,60,0,6.91,clear sky
134,Zhigansk,RU,66.7697,123.3711,58.32,60,92,4.65,overcast clouds
135,Ossora,RU,59.2353,163.0719,65.55,77,58,7.92,broken clouds
136,Strausberg,DE,52.5786,13.8874,58.6,79,53,10.02,broken clouds
137,Mairana,BO,-18.1167,-63.9333,53.82,93,34,3.44,scattered clouds
138,Atuona,PF,-9.8,-139.0333,77.79,75,7,18.43,clear sky
139,Laureles,US,26.1092,-97.4941,93.34,65,0,17.27,clear sky
140,Fonte Boa,BR,-2.4959,-66.2662,73.29,98,100,1.95,moderate rain
141,Ormara,PK,25.2088,64.6357,82.98,83,93,6.46,overcast clouds
142,Rio Grande,BR,-32.035,-52.0986,60.91,91,100,14.97,overcast clouds
143,Rawson,AR,-43.3002,-65.1023,47.62,61,100,4.92,overcast clouds
144,Ploemeur,FR,47.7333,-3.4333,67.82,74,0,10.36,clear sky
145,Buy,RU,58.4786,41.53,58.57,87,98,4.61,light rain
146,Constitucion,CL,-35.3333,-72.4167,51.33,85,100,9.73,overcast clouds
147,Ahipara,NZ,-35.1667,173.1667,63.19,72,100,5.77,overcast clouds
148,Kijang,KR,35.2442,129.2139,83.93,79,82,8.55,broken clouds
149,Novopokrovka,UA,49.8425,36.5477,69.15,54,100,4.76,overcast clouds
150,Finnsnes,NO,69.2296,17.9811,50.76,87,44,2.1,light rain
151,Osypenko,UA,46.9136,36.8253,69.1,50,12,3.76,few clouds
152,Port Arthur,CN,38.8,121.2667,79.02,89,100,10.51,overcast clouds
153,Severo-Kurilsk,RU,50.6789,156.125,59.94,81,100,12.39,overcast clouds
154,Leningradskiy,RU,69.3833,178.4167,36.48,91,100,8.7,overcast clouds
155,Godda,IN,24.8333,87.2167,83.57,74,8,9.15,clear sky
156,Banamba,ML,13.55,-7.45,80.19,69,78,8.9,broken clouds
157,Chapais,CA,49.7834,-74.8492,64.18,55,9,4.65,clear sky
158,Sao Filipe,CV,14.8961,-24.4956,74.01,84,39,8.68,scattered clouds
159,Ribeira Grande,PT,38.5167,-28.7,68.14,77,98,10.56,overcast clouds
160,Yellowknife,CA,62.456,-114.3525,73.92,53,75,4.61,smoke
161,Mizan Teferi,ET,6.9833,35.5833,60.13,98,100,1.77,light rain
162,Fukue,JP,32.6881,128.8419,82.76,78,40,8.05,scattered clouds
163,Dehloran,IR,32.6941,47.2679,93.04,17,0,4.23,clear sky
164,Pisco,PE,-13.7,-76.2167,61.02,88,0,12.66,clear sky
165,Kindu,CD,-2.95,25.95,67.32,47,1,2.57,clear sky
166,Hanna,CA,51.6334,-111.9018,77.86,39,4,4.0,clear sky
167,Gniezno,PL,52.5348,17.5826,56.39,93,5,8.03,clear sky
168,Gloucester,GB,51.8657,-2.2431,61.68,74,0,5.77,clear sky
169,Crestview,US,30.7621,-86.5705,84.25,91,40,5.75,moderate rain
170,Adrar,MR,20.5022,-10.0711,97.05,16,1,10.22,clear sky
171,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,85,5,6.26,clear sky
172,Bilgi,IN,16.35,75.6167,71.11,90,100,15.7,moderate rain
173,Barra Do Bugres,BR,-15.0725,-57.1811,74.97,50,86,1.28,overcast clouds
174,Stromness,GB,58.965,-3.296,55.36,91,100,15.01,moderate rain
175,Ust-Maya,RU,60.4167,134.5333,82.99,48,100,10.83,overcast clouds
176,Buala,SB,-8.145,159.5921,84.65,67,16,6.82,few clouds
177,Ancud,CL,-41.8697,-73.8203,45.23,87,100,11.81,light rain
178,Saskylakh,RU,71.9167,114.0833,51.3,72,100,6.78,overcast clouds
179,Ibimirim,BR,-8.5406,-37.6903,69.84,91,79,11.05,broken clouds
180,Palmer,US,42.1584,-72.3287,76.6,58,20,8.05,few clouds
181,Libreville,GA,0.3925,9.4537,74.48,77,80,9.01,broken clouds
182,Barrow,US,71.2906,-156.7887,57.22,67,0,11.5,clear sky
183,Phangnga,TH,8.4509,98.5298,82.44,89,100,7.96,overcast clouds
184,Kaitangata,NZ,-46.2817,169.8464,44.65,65,8,4.47,clear sky
185,Kavieng,PG,-2.5744,150.7967,84.52,64,50,12.1,scattered clouds
186,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,63,100,12.66,overcast clouds
187,Paita,PE,-5.0892,-81.1144,64.94,79,44,17.74,scattered clouds
188,Abha,SA,18.2164,42.5053,64.22,55,40,11.5,scattered clouds
189,Hambantota,LK,6.1241,81.1185,79.14,78,40,5.75,scattered clouds
190,Kieta,PG,-6.2167,155.6333,84.78,65,42,8.57,scattered clouds
191,Bereznik,RU,62.8551,42.7072,55.94,79,100,1.66,overcast clouds
192,Vestmannaeyjar,IS,63.4427,-20.2734,52.23,89,100,15.79,overcast clouds
193,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.26,99,100,2.19,overcast clouds
194,Anadyr,RU,64.75,177.4833,55.9,94,75,8.95,light rain
195,Uni,RU,57.7535,51.4923,61.43,94,100,4.88,overcast clouds
196,Namibe,AO,-15.1961,12.1522,62.37,83,0,2.57,clear sky
197,Kilindoni,TZ,-7.9139,39.6668,75.87,72,0,18.81,clear sky
198,Harnosand,SE,62.6323,17.9379,53.01,91,100,13.94,overcast clouds
199,Bengkulu,ID,-3.8004,102.2655,77.23,80,100,3.58,overcast clouds
200,Japura,ID,-0.3167,102.35,76.41,92,47,3.58,light rain
201,Mamallapuram,IN,12.6264,80.1722,82.45,66,100,14.07,light rain
202,Valley City,US,46.9233,-98.0032,82.92,65,40,11.5,scattered clouds
203,Ostrovnoy,RU,68.0531,39.5131,46.81,91,90,4.0,overcast clouds
204,Mnogovershinnyy,RU,53.9353,139.9242,79.92,51,82,3.09,broken clouds
205,Hofn,IS,64.2539,-15.2082,49.95,91,100,8.21,overcast clouds
206,Meulaboh,ID,4.1363,96.1285,77.23,81,99,3.49,overcast clouds
207,Ponta Do Sol,PT,32.6667,-17.1,75.13,45,2,2.75,clear sky
208,Mariental,NA,-24.6333,17.9667,46.98,61,0,7.25,clear sky
209,College,US,64.8569,-147.8028,73.2,60,100,4.61,smoke
210,Imbituba,BR,-28.24,-48.6703,62.1,99,13,11.01,few clouds
211,Chuy,UY,-33.6971,-53.4616,61.25,93,75,15.93,light rain
212,Bandrele,YT,-12.9067,45.1914,76.75,65,40,18.41,scattered clouds
213,Tromso,NO,69.6496,18.957,52.38,82,100,5.75,overcast clouds
214,Sisimiut,GL,66.9395,-53.6735,40.48,88,100,6.62,overcast clouds
215,Ambunti,PG,-4.2365,142.8448,86.41,68,93,1.36,overcast clouds
216,Onega,RU,63.9061,38.1404,58.23,73,90,6.53,overcast clouds
